,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace
255,750.0,flat,60.0,False,2,1,Madrid,Alcalá de Henares,29663,good,False,1,Casco Histórico,False,desconocido
256,735.0,flat,60.0,True,3,1,Madrid,Parla,20886,good,False,4,Parque Inlasa,False,desconocido
257,699.0,penthouse,78.0,True,2,1,Madrid,Colmenar Viejo,27684,good,False,2,Centro,False,desconocido
258,725.0,flat,67.0,True,3,1,Madrid,Móstoles,17191,good,False,4,Centro,False,desconocido
259,740.0,flat,77.0,True,3,2,Madrid,Alcalá de Henares,28385,good,False,bj,Reyes Católicos,True,desconocido
261,720.0,flat,73.0,True,1,1,Madrid,Collado Villalba,34761,good,False,2,Villalba Estación,True,desconocido
262,750.0,flat,79.0,True,3,1,Madrid,Getafe,11728,good,False,en,Universidad,True,desconocido
263,660.0,penthouse,66.0,True,1,1,Afueras,Seseña,32330,good,False,8,El Quiñón,True,True
264,710.0,flat,66.0,True,3,1,Madrid,Parla,20588,good,False,4,Parque Inlasa,False,desconocido
265,725.0,flat,62.0,True,2,1,Madrid,Madrid,7748,good,False,3,Latina,False,desconocido
266,750.0,flat,46.0,False,1,1,Madrid,Madrid,5680,good,False,bj,Carabanchel,False,desconocido
267,750.0,flat,61.0,True,2,1,Madrid,Madrid,3161,good,False,1,Carabanchel,True,desconocido
269,495.0,flat,90.0,False,3,2,Afueras,Borox,39297,good,False,bj,desconocido,True,desconocido
270,720.0,flat,110.0,False,2,1,Madrid,Parla,21417,good,False,desconocido,Las Américas,True,True
271,720.0,flat,48.0,False,2,1,Madrid,Madrid,3551,good,False,bj,Puente de Vallecas,False,desconocido
272,700.0,flat,57.0,False,2,1,Madrid,Madrid,8410,good,False,4,Villaverde,False,desconocido
273,750.0,duplex,75.0,True,2,2,Madrid,Cobeña,24176,good,False,1,desconocido,False,desconocido
274,610.0,studio,26.0,False,0,1,Madrid,Madrid,5343,good,False,3,Tetuán,True,desconocido
275,740.0,flat,52.0,False,2,1,Madrid,Móstoles,17525,good,False,4,Centro,False,desconocido
276,715.0,flat,62.0,True,2,1,Madrid,Colmenar Viejo,26558,good,False,bj,San Crispín - La Estación Consorcio,True,True
277,550.0,flat,57.0,False,2,1,Madrid,Aranjuez,43521,good,False,bj,Foso-Moreras,False,desconocido
278,710.0,flat,36.0,True,1,1,Madrid,Madrid,1315,good,False,bj,Arganzuela,False,desconocido
279,730.0,flat,51.0,True,2,1,Madrid,Madrid,8093,good,False,2,Villaverde,False,desconocido
280,750.0,studio,23.0,True,0,1,Madrid,Madrid,1367,good,False,8,Centro,True,desconocido
281,690.0,flat,33.0,False,1,1,Madrid,Madrid,5232,good,False,3,Tetuán,True,desconocido
282,740.0,flat,73.0,True,3,1,Madrid,Parla,21838,good,False,4,Fuentebella-San Felix-El Leguario,True,desconocido
283,750.0,duplex,66.0,True,1,1,Madrid,Madrid,5627,good,False,bj,Tetuán,True,desconocido
284,720.0,flat,44.0,False,3,1,Madrid,Madrid,8176,good,False,2,Villaverde,False,desconocido
285,475.0,flat,79.0,True,2,2,Madrid,Navalafuente,45077,good,False,2,desconocido,True,desconocido
286,740.0,flat,41.0,True,2,1,Madrid,Madrid,4787,good,False,2,Puente de Vallecas,False,desconocido
287,740.0,flat,57.0,True,1,1,Madrid,Madrid,3642,good,False,1,Latina,True,desconocido
288,740.0,flat,62.0,True,2,1,Madrid,Colmenar Viejo,26890,good,False,1,San Crispín - La Estación Consorcio,True,True
289,700.0,flat,74.0,False,2,1,Madrid,Getafe,9950,good,False,4,Getafe norte,False,desconocido
290,730.0,flat,35.0,False,1,1,Madrid,Madrid,760,good,False,2,Centro,True,desconocido
291,700.0,studio,28.0,True,0,1,Madrid,Madrid,9700,good,False,3,Fuencarral,True,False
293,470.0,flat,80.0,False,1,1,Afueras,Fuensalida,59351,good,False,1,desconocido,True,desconocido
294,550.0,flat,76.0,True,2,1,Afueras,Yuncos,38544,good,False,2,desconocido,True,True
295,750.0,flat,109.0,True,2,2,Madrid,Valdemoro,24455,good,False,3,Hospital,True,True
296,749.0,flat,38.0,True,1,1,Madrid,Madrid,6506,good,False,2,Carabanchel,True,True
297,700.0,studio,30.0,False,0,1,Madrid,Madrid,2411,good,False,bj,Retiro,True,desconocido
298,667.0,flat,70.0,True,1,1,Madrid,Parla,21185,good,False,8,Parla Este,True,True
299,725.0,flat,45.0,False,1,1,Madrid,Madrid,10398,good,False,1,San Blas,True,True
300,550.0,penthouse,70.0,True,3,1,Madrid,Robledo de Chavela,47595,good,False,3,desconocido,False,True
301,695.0,flat,55.0,True,3,1,Madrid,Parla,19765,good,False,4,Villayuventus-Renfe,False,desconocido
302,675.0,flat,84.0,True,2,2,Afueras,Seseña,31489,good,False,2,El Quiñón,True,True
303,750.0,flat,105.0,True,3,1,Madrid,Campo Real,28810,good,False,1,desconocido,False,desconocido
304,699.0,flat,52.0,True,1,1,Madrid,Madrid,7092,good,False,3,Puente de Vallecas,True,True
305,750.0,studio,32.0,True,0,1,Madrid,Madrid,5006,good,False,14,Ciudad Lineal,True,desconocido
306,730.0,flat,80.0,True,3,1,Madrid,Collado Villalba,35774,good,False,4,Carlos Ruiz,False,desconocido
307,340.0,flat,50.0,True,1,1,Afueras,Fuensalida,58969,good,False,1,desconocido,False,True
308,710.0,flat,30.0,True,1,1,Madrid,Madrid,1156,good,False,bj,Centro,False,desconocido
309,650.0,flat,58.0,True,1,1,Madrid,Madrid,5924,good,False,4,Puente de Vallecas,True,desconocido
310,600.0,countryHouse,60.0,False,2,2,Madrid,Villaviciosa de Odón,23776,renew,False,desconocido,Centro,desconocido,desconocido
311,740.0,flat,41.0,True,2,1,Madrid,Madrid,8358,good,False,3,Villa de Vallecas,False,desconocido
312,525.0,flat,40.0,True,1,1,Madrid,Aranjuez,43059,good,False,3,Foso-Moreras,True,desconocido
313,750.0,studio,35.0,True,0,1,Madrid,Madrid,1272,good,False,4,Moncloa,False,desconocido
314,750.0,flat,74.0,True,3,1,Madrid,Alcalá de Henares,29245,good,False,2,Chorrillo,True,desconocido
315,685.0,flat,84.0,True,2,2,Afueras,Seseña,32215,good,False,6,El Quiñón,True,True
316,710.0,flat,69.0,True,3,1,Madrid,Alcalá de Henares,28440,good,False,5,Reyes Católicos,True,desconocido
317,560.0,studio,46.0,True,0,1,Madrid,Madrid,3786,good,False,bj,Puente de Vallecas,False,desconocido
318,500.0,duplex,70.0,True,3,2,Afueras,Casarrubios del Monte,38592,good,False,2,desconocido,True,True
319,600.0,flat,42.0,True,1,1,Madrid,Torrejón de Ardoz,18905,good,False,bj,Noroeste,False,desconocido
320,600.0,penthouse,69.0,True,3,1,Afueras,El Espinar,56418,good,False,4,El Espinar,True,True
321,460.0,flat,85.0,True,1,1,Afueras,Casarrubios del Monte,38210,good,False,1,desconocido,True,True
322,460.0,flat,55.0,True,1,1,Afueras,Mocejón,55947,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
323,720.0,flat,44.0,True,1,1,Madrid,Madrid,3589,good,False,ss,Carabanchel,False,desconocido
324,750.0,flat,60.0,True,2,1,Madrid,Madrid,2591,good,False,desconocido,Latina,False,desconocido
325,750.0,flat,42.0,False,1,1,Madrid,Madrid,2762,good,False,4,Arganzuela,True,desconocido
326,750.0,studio,90.0,True,0,1,Madrid,Madrid,7228,good,False,4,San Blas,True,desconocido
327,650.0,studio,45.0,False,0,1,Madrid,Madrid,3807,good,False,bj,Chamartín,True,desconocido
328,650.0,flat,59.0,True,1,1,Madrid,Parla,20637,good,False,2,El Nido-Las Fuentes,True,desconocido
329,670.0,flat,75.0,True,2,1,Madrid,Arganda,27056,good,False,3,El Mirador - Grillero,True,True
330,600.0,flat,70.0,True,3,1,Afueras,San Ildefonso o la Granja,59919,good,False,2,desconocido,False,desconocido
331,650.0,flat,45.0,True,1,1,Madrid,Getafe,12383,newdevelopment,True,2,La Alhóndiga,True,desconocido
332,600.0,duplex,70.0,True,2,1,Afueras,Alameda de la Sagra,45419,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
333,750.0,flat,32.0,True,1,1,Madrid,Madrid,5339,good,False,2,Puente de Vallecas,True,desconocido
334,725.0,flat,50.0,True,1,1,Madrid,Madrid,5564,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
335,620.0,studio,20.0,False,0,1,Madrid,Madrid,1893,good,False,1,Arganzuela,True,desconocido
336,500.0,flat,125.0,True,3,2,Afueras,El Espinar,56620,good,False,3,El Espinar,False,True
337,400.0,flat,100.0,True,3,2,Afueras,Cabañas de la Sagra,49933,good,False,2,desconocido,True,True
338,680.0,flat,35.0,True,1,1,Madrid,Madrid,3308,good,False,bj,Carabanchel,False,desconocido
339,750.0,flat,87.0,True,3,1,Madrid,Coslada,12519,good,False,bj,La Espinilla - Parque Blanco,True,desconocido
340,350.0,flat,53.0,True,1,1,Afueras,Las Navas del Marqués,57144,good,False,1,desconocido,True,desconocido
341,400.0,flat,128.0,False,4,2,Afueras,Villaseca de la Sagra,52756,good,False,4,desconocido,True,desconocido
342,670.0,flat,53.0,True,1,1,Madrid,Getafe,12383,newdevelopment,True,1,La Alhóndiga,True,desconocido
343,600.0,flat,75.0,True,3,1,Madrid,Alcalá de Henares,28756,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
